NRE No,Owner,Request date.,Item ,Code item,Aplication reason / Area,Operation,Customizer,Brand ,Model,Picture,Status,New or replace,Qty required,Quotation Unit Price (MX),Total amount (MX),MX total + IVA,Amount (USD),Total + IVA USD,Owner approval,MFG approval date,Purchase Format,Status,Arrived date
ZL25011401,Jonas Navarro,01/14/2025,Corner cutting machine 1 Maintenance,N/A,POC,Preventive Maintenance,MAKINE,N/A,N/A,N/A,Approved,Service,1,14238,14238,16516.08,#REF!,#REF!,Liam / Kevin,01/14/2024,Yes,Arrived,02/10/2024
ZL25011501,Jesus Muro,01/15/2025,ESD TESTER,N/A,All areas,Calibration,Micropresicion,OHM METRICS,PDT700,N/A,Approved,Service,1,2363.438094,2363.438094,2741.58818904,115,133.4,Liam / Kevin,01/15/2024,Yes,Arrived,02/28/2024
ZL25011502,Jesus Muro,01/15/2025,ESD TESTER,N/A,All areas,Calibration,Micropresicion,OHM METRICS,PDT700,N/A,Approved,Service,1,2363.438094,2363.438094,2741.58818904,115,133.4,Liam / Kevin,01/15/2024,Yes,Arrived,02/28/2024
ZL25011503,Jesus Muro,01/15/2025,TORQUE ANALIZER,N/A,All areas,Calibration,Micropresicion,HIOS,HP-100,N/A,Approved,Service,1,2363.438094,2363.438094,2741.58818904,115,133.4,Liam / Kevin,01/15/2024,Yes,Arrived,02/28/2024
ZL25011504,Jesus Muro,01/15/2025,"SURFACE RESISTIVITY
METER",N/A,All areas,Calibration,Micropresicion,ACL STATICIDE,ACL380,N/A,Approved,Service,1,2363.438094,2363.438094,2741.58818904,115,133.4,Liam / Kevin,01/15/2024,Yes,Arrived,02/28/2024
ZL25011505,Jesus Muro,01/15/2025,Cable reference,N/A,All areas,Calibration,Micropresicion,N/A,N/A,N/A,Approved,Service,1,3391.019874,3391.019874,3933.58305384,165,191.4,Liam / Kevin,01/15/2024,Yes,Arrived,02/28/2024
ZL25011506,Jesus Muro,01/15/2025,Scale,N/A,All areas,Calibration,Micropresicion,Ohaus,Defender T32XW,N/A,Approved,Service,1,3802.052586,3802.052586,4410.38099976,185,214.6,Liam / Kevin,01/15/2024,Yes,Arrived,02/12/2024
ZL25011507,Jesus Muro,01/15/2025,"Tapete Adhesivo
 Desechable,Az,24plAn,PQ4",N/A,ATO,EPA,Grainger,N/A,"e,Az,24plAn,PQ4",,Approved,New,10,2254.5,22545,26152.2,1096.99298093822,1272.51185788833,Liam / Kevin,02/05/2024,Yes,Arrived,02/10/2024
ZL25012001,Jonas Navarro,01/20/2025,Rocket Sealed Air Equipment,N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,1,3000,3000,3480,#REF!,#REF!,Liam / Kevin,01/20/2025,Yes,Arrived,02/01/2024
ZL25020501,Juan Mata,02/05/2025,Switch Ethernet,N/A,Switch replacement,IT,IKP,TP-Link,"TL-SG3428XMP Gigabit, 24 PoE+ 10/100/1000Mbps ports + 4 SFP+ ports, 128 Gbit/s, 16,000 entries - Manageable	",,Approved,New,3,8595,25785,29910.6,#REF!,#REF!,Liam / Kevin,02/05/2025,Yes,Arrived,02/27/2025
ZL25021001,Jesus Muro,02/10/2025,XLR connectors ,N/A,Replaece damage conections on ATO production lines ,Maintenance,OKNALB,N/A,XLR,,Approved,New,4,803.39,3213.56,3727.7296,#REF!,#REF!,Liam / Kevin,02/10/2025,Yes,Arrived,03/05/2025
ZL25021002,Juan Mata,02/10/2025,Replacement Battery 	,N/A,Laptops:  ASUS A407UA-BV395R,Maintenance,IKP,N/A,A31N1719,,Approved,Replace,10,860,8600,9976,#REF!,#REF!,Liam / Kevin,02/10/2025,Yes,Arrived,03/05/2025
ZL25021101,Cesar Gutierrez,02/11/2025,Cable cutting pliers,N/A,Warehouse,Cable cutting,IKP,Urrea,U1-289G,,Approved,New,5,412,2060,2389.6,#REF!,#REF!,Liam / Kevin,02/11/2025,Yes,Arrived,03/05/2025
ZL25020701,Jesus Muro,02/07/2025,Scale Braunker,EC7809,All areas,Calibration,Micropresicion,Braunker,GSE-350	,,Approved,Service,1,3771.26,3771.26,4374.6616,#REF!,#REF!,Liam / Kevin,02/07/2025,Yes,Arrived,02/12/2024
ZL25020702,Jesus Muro,02/07/2025,Wifi Scale,N/A,All areas,Calibration,Micropresicion,MONOLITHLOT,MTS-6000Plus,,Approved,Service,1,6013.63,6013.63,6975.8108,#REF!,#REF!,Liam / Kevin,02/07/2025,Yes,Arrived,02/12/2024
ZL25020703,Jesus Muro,02/07/2025,Wifi Scale,N/A,All areas,Calibration,Micropresicion,MONOLITHLOT,MTS-6000Plus,,Approved,Service,1,6013.63,6013.63,6975.8108,#REF!,#REF!,Liam / Kevin,02/07/2025,Yes,Arrived,02/12/2024
,Cesar Gutierrez,02/07/2025,Wifi flexometer,N/A,POC,Weight & sizes,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Cancelled,New,2,,,,686,1372,,,,Cancelled,
ZL25022501,Cesar Gutierrez,02/25/2025,Ruler spare parts,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Approved,New,5,,,,10,50,Liam / Kevin,02/25/2025,Yes,Arrived,03/14/2025
ZL25022502,Cesar Gutierrez,02/25/2025,Shipping,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",N/A,N/A,,Approved,Service,1,,,,120,120,Liam / Kevin,02/25/2025,Yes,Arrived,03/14/2025
,Cesar Gutierrez,02/25/2025,CC&VAT,N/A,POC,Maintenance,N/A,N/A,N/A,,Cancelled,Service,1,,,,964.211684210526,964.211684210526,,,,Cancelled,
